"trial","ref_position","var_area","response","correct","rt"
1,"R",10.4287751284428,"L",TRUE,1.50200009346008
2,"L",10.1985890362412,"R",TRUE,1.89699983596802
3,"L",8.95434355875477,"R",FALSE,1.50200009346008
4,"L",14.8804752307478,"R",TRUE,1.59700012207031
5,"L",13.0695621995255,"R",TRUE,1.49600005149841
6,"R",12.9499633747619,"L",TRUE,1.38899993896484
7,"R",9.16537869325839,"R",FALSE,2.19000005722046
8,"R",11.7682989148889,"L",TRUE,1.59599995613098
9,"L",8.78934919275343,"R",FALSE,1.99600005149841
10,"L",12.9802034958266,"R",TRUE,1.18400001525879
11,"R",12.0911120006349,"L",TRUE,1.40899991989136
12,"L",12.4189643554855,"R",TRUE,1.38100004196167
13,"L",13.4475009348243,"R",TRUE,1.49000000953674
14,"R",10.0511894109659,"L",TRUE,1.48399996757507
15,"R",14.8149208202958,"L",TRUE,1.3970000743866
16,"L",13.5092662856914,"R",TRUE,1.18799996376038
17,"L",9.97976330039091,"R",TRUE,2.59299993515015
18,"R",9.07548171561211,"R",FALSE,1.40000009536743
19,"R",10.0999345844612,"L",TRUE,1.3970000743866
20,"L",13.8687727560755,"R",TRUE,1.28499984741211
