"trial","ref_position","var_area","response","correct","rt"
1,"L",10.4998895956669,"L",FALSE,2.19199991226196
2,"R",9.95594140025787,"R",FALSE,1.78799986839294
3,"L",12.511014824966,"R",TRUE,1.19099998474121
4,"R",8.17032125010155,"R",TRUE,1.39300012588501
5,"R",9.44293590961024,"R",FALSE,5.19200015068054
6,"L",13.7277717320248,"R",TRUE,1.0939998626709
7,"R",10.2641154937446,"R",FALSE,1.49000000953674
8,"L",13.2691000651103,"R",TRUE,2.69099998474121
9,"R",13.6218435224146,"L",TRUE,1.39000010490417
10,"R",11.0853616835084,"R",FALSE,1.09299993515015
11,"R",14.4107342776842,"R",FALSE,1.19500017166138
12,"R",14.0114417991135,"R",FALSE,0.891000032424927
13,"L",13.4693259373307,"R",TRUE,2.59400010108948
14,"R",13.8199604423717,"L",TRUE,1.6949999332428
15,"L",14.344464011956,"R",TRUE,0.990000009536743
16,"R",13.8074753852561,"L",TRUE,1.49000000953674
17,"R",11.366936423583,"L",TRUE,1.89499998092651
18,"L",10.0801587558817,"R",TRUE,2.09500002861023
19,"R",9.28297010646202,"L",TRUE,1.89000010490417
20,"L",13.0689471254591,"R",TRUE,1.4909999370575
21,"L",8.01275518094189,"R",FALSE,2.4909999370575
22,"R",14.8317744876258,"L",TRUE,1.79000020027161
